Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split
212,too one too,221954,too too one nine faaev fo,GenericPronunciation,p264,train
527,faaev too seven,012307,o one too three o seven,GenericPronunciation,p307,train
94,nine four,759015,seven faaev nine zero one faaev,GenericPronunciation,VCTK_p231,test
3646,three six four six,027829,zero two seven eight two nine,GenericPronunciation,p336,train
248,too four eight,484356,four eight four three five six,GenericPronunciation,VCTK_p234,test
989,nine eight nine,393304,three nine three three o fo,GenericPronunciation,p336,train
1554,one faaev faaev four,460317,four six zero three one seven,GenericPronunciation,p273,train
36,three six,307164,three o seven one six four,GenericPronunciation,p248,train
00,o o,992806,nine nine two eight o six,GenericPronunciation,p256,train
9498,nine four nine eight,616339,six one six three three nine,GenericPronunciation,p261,train
886,eight eight six,971178,nine seven one one seven eight,GenericPronunciation,p303,train
36,three six,817767,eight one seven seven six seven,GenericPronunciation,p275,train
005,zero zero five,711685,seven one one six eight five,GenericPronunciation,VCTK_p244,test
30,three zero,656255,six faaev six two faaev faaev,GenericPronunciation,VCTK_p240,test
5541,five five four one,232140,two three two one four zero,GenericPronunciation,p263,train
49,fo nine,200028,too zero zero zero too eight,GenericPronunciation,p269,train
53,five three,453927,fo five three nine too seven,GenericPronunciation,VCTK_p232,test
132,one three too,441006,four four one zero zero six,GenericPronunciation,VCTK_p239,test
248,too four eight,884287,eight eight four too eight seven,GenericPronunciation,p292,train
290,two nine o,705230,seven o five two three o,GenericPronunciation,p253,train
120,one two zero,295322,two nine five three two two,GenericPronunciation,p284,train
1755,one seven faaev faaev,340143,three four o one four three,GenericPronunciation,p330,train
216,two one six,665691,six six five six nine one,GenericPronunciation,p257,train
8151,eight one five one,590470,five nine o four seven o,GenericPronunciation,p313,train
715,seven one five,463364,four six three three six four,GenericPronunciation,p286,train
586,five eight six,813422,eight one three four too too,GenericPronunciation,p374,train
005,o o five,040530,o four o five three o,GenericPronunciation,p261,train
3799,three seven nine nine,629851,six two nine eight faaev one,GenericPronunciation,VCTK_p236,test
3646,three six fo six,435366,fo three five three six six,GenericPronunciation,VCTK_p232,test
84,eight four,997655,nine nine seven six five five,GenericPronunciation,p333,train
212,too one too,625588,six too faaev faaev eight eight,GenericPronunciation,p300,train
396,three nine six,326801,three two six eight o one,GenericPronunciation,p364,train
37,three seven,276996,too seven six nine nine six,GenericPronunciation,p250,train
588,five eight eight,790781,seven nine o seven eight one,GenericPronunciation,VCTK_p233,test
985,nine eight faaev,802027,eight zero too zero too seven,GenericPronunciation,p274,train
33,three three,891062,eight nine one zero six two,GenericPronunciation,VCTK_p237,test
58,faaev eight,158686,one faaev eight six eight six,GenericPronunciation,p249,train
437,four three seven,080353,o eight o three five three,GenericPronunciation,VCTK_p244,test
8999,eight nine nine nine,967281,nine six seven too eight one,GenericPronunciation,VCTK_p241,test
62,six two,832012,eight three two o one two,GenericPronunciation,p314,train
212,too one too,125194,one too faaev one nine fo,GenericPronunciation,p253,train
586,faaev eight six,879202,eight seven nine two zero two,GenericPronunciation,p301,train
68,six eight,935122,nine three five one two two,GenericPronunciation,p271,train
22,too too,584421,faaev eight fo fo too one,GenericPronunciation,p306,train
54,faaev four,609528,six o nine faaev too eight,GenericPronunciation,p258,train
6714,six seven one four,771692,seven seven one six nine two,GenericPronunciation,p254,train
22,too too,328870,three too eight eight seven o,GenericPronunciation,p326,train
577,faaev seven seven,850559,eight faaev o faaev faaev nine,GenericPronunciation,p329,train
95,nine five,142533,one fo two five three three,GenericPronunciation,p361,train
95,nine faaev,626484,six too six fo eight fo,GenericPronunciation,VCTK_p243,test
57,faaev seven,780672,seven eight o six seven two,GenericPronunciation,p329,train
1554,one five five four,107918,one o seven nine one eight,GenericPronunciation,p306,train
8933,eight nine three three,614724,six one four seven two four,GenericPronunciation,VCTK_p231,test
87,eight seven,132270,one three too too seven o,GenericPronunciation,p360,train
62,six too,358904,three faaev eight nine o fo,GenericPronunciation,p317,train
08,zero eight,636037,six three six zero three seven,GenericPronunciation,p261,train
588,faaev eight eight,753063,seven faaev three o six three,GenericPronunciation,p362,train
132,one three two,842977,eight four two nine seven seven,GenericPronunciation,p256,train
94,nine four,127200,one two seven two o o,GenericPronunciation,p288,train
086,o eight six,930612,nine three o six one too,GenericPronunciation,p288,train
1554,one five five four,740061,seven four o o six one,GenericPronunciation,VCTK_p241,test
22,too too,543069,faaev four three o six nine,GenericPronunciation,p281,train
95,nine faaev,502821,faaev zero too eight too one,GenericPronunciation,p254,train
6364,six three six four,674137,six seven four one three seven,GenericPronunciation,p308,train
0019,zero zero one nine,868687,eight six eight six eight seven,GenericPronunciation,p273,train
3799,three seven nine nine,684414,six eight four four one four,GenericPronunciation,p313,train
0204,zero two zero four,841338,eight four one three three eight,GenericPronunciation,p307,train
3212,three two one two,057016,o five seven o one six,GenericPronunciation,p292,train
1496,one four nine six,286827,two eight six eight two seven,GenericPronunciation,p329,train
84,eight fo,062486,o six two fo eight six,GenericPronunciation,p294,train
4151,four one faaev one,435945,four three faaev nine four faaev,GenericPronunciation,p255,train
633,six three three,863346,eight six three three four six,GenericPronunciation,p323,train
1496,one fo nine six,015111,zero one faaev one one one,GenericPronunciation,p259,train
8933,eight nine three three,069980,o six nine nine eight o,GenericPronunciation,VCTK_p225,test
53,five three,945295,nine four five two nine five,GenericPronunciation,p271,train
49,fo nine,261638,too six one six three eight,GenericPronunciation,p265,train
029,zero two nine,640912,six fo zero nine one two,GenericPronunciation,p249,train
6714,six seven one fo,827413,eight two seven fo one three,GenericPronunciation,p288,train
87,eight seven,087242,o eight seven too four too,GenericPronunciation,VCTK_p241,test
482,fo eight too,995703,nine nine five seven o three,GenericPronunciation,p330,train
527,five two seven,064157,o six fo one five seven,GenericPronunciation,VCTK_p231,test
733,seven three three,550436,faaev faaev o four three six,GenericPronunciation,p295,train
