Prompt,Denormalized Prompt,Normalized Sequence,Denormalized Sequence,Pronunication Class,Speaker ID,split,prompt_path,seq_path,prompt_path_audio,seq_path_audio
er,ee r,i8rrb2,i eight r arr bee too,GenericPronunciation,p295,train,dump/alphanumeric_features/0_prompt.pth,dump/alphanumeric_features/0_seq.pth,dump/alphanumeric/0_prompt.wav,dump/alphanumeric/0_seq.wav
74,seven four,kipkxm,kay eye pee kay x am,GenericPronunciation,p311,train,dump/alphanumeric_features/1_prompt.pth,dump/alphanumeric_features/1_seq.pth,dump/alphanumeric/1_prompt.wav,dump/alphanumeric/1_seq.wav
97,nine seven,2axkpy,two ae eks kay pee wai,GenericPronunciation,p249,train,dump/alphanumeric_features/2_prompt.pth,dump/alphanumeric_features/2_seq.pth,dump/alphanumeric/2_prompt.wav,dump/alphanumeric/2_seq.wav
lndi,l n dee i,w0k8sx,double you zero kay eight es eks,GenericPronunciation,p363,train,dump/alphanumeric_features/4_prompt.pth,dump/alphanumeric_features/4_seq.pth,dump/alphanumeric/4_prompt.wav,dump/alphanumeric/4_seq.wav
980,nine eight zero,4sjps1,four es j p s one,GenericPronunciation,p265,train,dump/alphanumeric_features/5_prompt.pth,dump/alphanumeric_features/5_seq.pth,dump/alphanumeric/5_prompt.wav,dump/alphanumeric/5_seq.wav
88,eight eight,5ulrf8,faaev uu el aar ef eight,GenericPronunciation,p364,train,dump/alphanumeric_features/6_prompt.pth,dump/alphanumeric_features/6_seq.pth,dump/alphanumeric/6_prompt.wav,dump/alphanumeric/6_seq.wav
ef,ee ef,vdgxsc,v dee jee eks es see,GenericPronunciation,p262,train,dump/alphanumeric_features/8_prompt.pth,dump/alphanumeric_features/8_seq.pth,dump/alphanumeric/8_prompt.wav,dump/alphanumeric/8_seq.wav
c0hz,see zero haych zee,9kwbms,nine kay double u bee em es,GenericPronunciation,p288,train,dump/alphanumeric_features/9_prompt.pth,dump/alphanumeric_features/9_seq.pth,dump/alphanumeric/9_prompt.wav,dump/alphanumeric/9_seq.wav
lvt,l v tee,0kddyk,zero k dee dee why kay,GenericPronunciation,p283,train,dump/alphanumeric_features/11_prompt.pth,dump/alphanumeric_features/11_seq.pth,dump/alphanumeric/11_prompt.wav,dump/alphanumeric/11_seq.wav
wc,double you see,utwzv7,uu ti double you z wee seven,GenericPronunciation,p265,train,dump/alphanumeric_features/12_prompt.pth,dump/alphanumeric_features/12_seq.pth,dump/alphanumeric/12_prompt.wav,dump/alphanumeric/12_seq.wav
0bua,zero bee uu ae,q8tig0,q eight tee eye jee zero,GenericPronunciation,p334,train,dump/alphanumeric_features/13_prompt.pth,dump/alphanumeric_features/13_seq.pth,dump/alphanumeric/13_prompt.wav,dump/alphanumeric/13_seq.wav
88,eight eight,rp14on,arr p one fo o aen,GenericPronunciation,p268,train,dump/alphanumeric_features/15_prompt.pth,dump/alphanumeric_features/15_seq.pth,dump/alphanumeric/15_prompt.wav,dump/alphanumeric/15_seq.wav
iec,eye ee see,veff9v,wee ee ef ef nine wee,GenericPronunciation,p340,train,dump/alphanumeric_features/17_prompt.pth,dump/alphanumeric_features/17_seq.pth,dump/alphanumeric/17_prompt.wav,dump/alphanumeric/17_seq.wav
016,zero one six,3zfqo6,three zee ef q o six,GenericPronunciation,p361,train,dump/alphanumeric_features/18_prompt.pth,dump/alphanumeric_features/18_seq.pth,dump/alphanumeric/18_prompt.wav,dump/alphanumeric/18_seq.wav
